Model,FnBlkd,FnTICRxns,FnTICs,FSize,TnBlkd,TnTICRxns,TnTICs,TSize,nComRxns
E2199,1,5,2,613,0,9,4,648,568
E2200,3,17,12,749,0,13,8,815,702
E2201,0,4,1,992,0,4,1,938,871
E2202,0,10,8,946,0,13,9,976,901
E2203,0,0,0,578,0,4,2,559,509
E2204,3,3,1,540,0,4,2,524,479
E2205,0,0,0,513,0,0,0,512,460
E2206,1,3,1,607,0,7,4,600,527
E2207,2,3,1,511,0,4,2,499,463
E2208,0,0,0,498,0,4,2,501,466
E2209,0,0,0,557,0,0,0,571,531
E2210,0,0,0,603,0,0,0,669,554
E2211,0,0,0,623,0,4,2,592,520
E2212,0,3,1,967,0,3,1,992,946
E2213,0,3,1,947,0,3,1,985,921
E2214,0,3,1,963,0,3,1,981,931
E2215,0,3,1,949,0,3,1,971,919
E2216,0,3,1,956,0,3,1,992,934
E2217,0,3,1,960,0,3,1,993,933
E2218,2,5,2,974,0,3,1,990,941
E2219,2,5,2,962,0,3,1,987,936
E2220,0,0,0,526,0,0,0,515,471
E2221,0,0,0,580,0,0,0,548,495
E2222,1,3,1,555,0,0,0,532,492
E2223,1,6,2,1000,0,0,0,1017,953
E2224,0,0,0,988,0,0,0,1004,953
E2225,1,3,1,588,0,0,0,552,492
E2226,1,3,1,994,0,0,0,1016,953
E2227,0,0,0,983,0,0,0,996,946
E2228,2,5,2,982,0,0,0,1012,953
E2229,2,5,2,980,0,0,0,1004,943
E2230,2,5,2,978,0,0,0,988,945
E2231,3,8,3,1012,0,5,1,1059,987
E2232,1,6,2,1051,0,3,2,1071,1015
E2233,2,5,2,1043,0,2,1,1076,1010
E2234,8,12,7,1068,0,7,7,1101,1037
E2235,0,3,1,997,0,0,0,1009,966
E2236,2,7,3,993,0,15,5,997,938
E2237,2,12,4,1066,0,9,3,1082,1043
E2238,2,12,4,1085,0,8,3,1115,1060
E2239,0,3,1,893,0,3,1,869,803
E2240,0,6,2,915,0,3,1,894,864
E2241,0,6,2,897,0,8,2,906,863
E2242,0,11,3,957,0,3,1,956,905
E2243,0,6,2,962,0,8,2,928,843
E2244,2,2,1,991,0,5,2,1013,965
E2245,3,8,3,1012,0,2,1,1027,978
E2246,2,2,1,990,0,2,1,1010,970
E2247,2,2,1,982,0,5,3,999,958
E2248,2,2,1,985,0,2,1,1005,960
E2249,3,8,3,1012,0,2,1,1032,982
E2250,2,2,1,987,0,2,1,1004,959
E2251,2,2,1,982,0,2,1,1001,953
E2252,2,2,1,995,0,2,1,1009,967
E2253,2,2,1,994,0,2,1,998,960
E2254,0,0,0,974,0,3,1,970,915
E2255,0,0,0,661,0,7,4,672,627
E2256,0,0,0,651,0,0,0,651,610
E2257,3,3,1,611,0,4,2,642,576
E2258,0,0,0,662,0,0,0,658,580
E2259,0,3,1,864,0,5,1,857,784
E2260,2,6,2,578,0,0,0,574,506
E2261,3,3,1,597,0,0,0,625,530
E2262,0,0,0,594,0,0,0,583,513
